Item Name,Description,Mfg Part #,Category,Rate,Item Type
After Hour Service Call Fee,After hours service fee,,Service Charge,150,Inventory
After Hour Supply House Charge,Supply House charge for opening store after hours,,Service Charge,150,Inventory
Holiday Service Charge,,,Service Charge,500,Inventory
NO SHOW FEE,,,Service Charge,59,Non Inventory
Service Charge,,,Service Charge,120,Non Inventory
"""4"" Air Filter""",Air Filter,,Services,84,Inventory
1'' Air filter,Pleated Air Filter,,Services,10,Non Inventory
824 Trane thermostat,TRANE Wi-Fi NEXIA-T 4-31/50 in. 5 Heat/2 Cool 7-Day Programmable Thermostat,,Services,622,Inventory
850 Trane Thermostat,Trane Wi-Fi  NEXIA-T XL850 5H/2C PROG 7 DAY Thermostat,,Services,917,Inventory
Add. A/C & Air Handler Sys,One visit per year\CRMonthly price $9.00\CRYearly price $108.00,,Services,108,Inventory
Add. Gas Heating & A/C System,,,Services,156,Inventory
Add. Mini-Split,One visit per year\CRMonthly price $5.00\CRYearly price $60.00,,Services,60,Inventory
Add. Oil Furnace,One visit per year\CRMonthly visit $14.00\CRYearly visit $168.00,,Services,168,Inventory
Add. Oil Heating & A/C System,Two visits per year\CRMonthly price $20.00\CRYearly price $240.00,,Services,240,Inventory
Additional Gas Furnace/Boiler,One visit per year\CRMonthly price $9.00\CRYearly price $108.00,,Services,108,Inventory
Additional Heat Pump System,Two visits per year\CRMonthly price $13.00\CRYearly price $156.00,,Services,156,Inventory
Air Conditioner Air Handler Sys,One visit per year\CRMonthly price $13.00\CRYearly price $156.00,,Services,156,Inventory
Air Scrubber,Not sold separately \CRMonthly price $12.00\CRYearly price $144.00,,Services,144,Inventory
AprilAire 110,Air filter,,Services,96,Inventory
AprilAire 401,Air Filter,,Services,96,Non Inventory
Case of 1'' Pleated Air filters,Case of Pleated Air Filter Size,,Services,120,Inventory
CO Detector,Home CO Detector,,Services,58,Inventory
Electronic Air Cleaner,Not sold separately\CRMonthly price $9.00\CRYearly price $108.00,,Services,108,Inventory
Extended Diagnostic Fee,Additional time needed for diagnosing issue,,Services,60,Non Inventory
First Responder Discount,Thank you for your service,,Services,5,Discount
Flood Stop,Automatic Water Shut off valve with Detection of water,,Services,621,Non Inventory
Gas Furnace/Gas Boiler,One visit per year\CRMonthly price $11.00\CRYearly price $132.00,,Services,132,Inventory
Gas Heating & A/C System,Two visits per year\CRMonthly price $20.00\CRYearly price $240.00,,Services,240,Inventory
Gas/Electric Water Heater,Not sold separately\CRMonthly price $3.00\CRYearly price $36.00,,Services,36,Inventory
HA10A,Refrigerant Circulation Pumping System Rejuvenation \CRPerformance and safety testing \CR30 day warranty,,Services,4807,Non Inventory
HA10B,Basic Refrigerant Circulation Pumping System Renovation\CRInstall inline refrigerant filters \CRInstall compressor terminal kit\CRCoolant system recharge,,Services,5287,Non Inventory
HA10C,Main Refrigerant Circulation Pumping System Renovation\CRFlush and purge entire coolant system\CRInstall inline refrigerant filters\CRInstall performance,,Services,6248,Non Inventory
HA10D,Complete Refrigerant Circulation Pumping System Renovation\CRFlush and purge entire coolant system\CRUpgrade to complete power protection system\CRInstal,,Services,7210,Non Inventory
HA10E,Complete Refrigerant Circulation Pumping System Renovation\CRFlush and purge entire coolant system\CRUpgrade to complete power protection system\CRInstal,,Services,7690,Non Inventory
HA11A,Refrigerant Circulation Pumping System Rejuvenation \CRPerformance and safety testing \CR30 day warranty,,Services,5377,Non Inventory
HA11B,Basic Refrigerant Circulation Pumping System Renovation\CRInstall inline refrigerant filters \CRInstall compressor terminal kit\CRCoolant system recharge,,Services,5914,Non Inventory
HA11C,Main Refrigerant Circulation Pumping System Renovation\CRFlush and purge entire coolant system\CRInstall inline refrigerant filters\CRInstall performance,,Services,6989,Non Inventory
HA11D,Complete Refrigerant Circulation Pumping System Renovation\CRFlush and purge entire coolant system\CRUpgrade to complete power protection system\CRInstal,,Services,8065,Non Inventory
HA11E,Complete Refrigerant Circulation Pumping System Renovation\CRFlush and purge entire coolant system\CRUpgrade to complete power protection system\CRInstal,,Services,8602,Non Inventory
HA12A,Refrigerant Circulation Pumping System Rejuvenation \CRPerformance and safety testing \CR30 day warranty,,Services,5782,Non Inventory
HA12B,Basic Refrigerant Circulation Pumping System Renovation\CRInstall inline refrigerant filters \CRInstall compressor terminal kit\CRCoolant system recharge,,Services,6360,Non Inventory
HA12C,Main Refrigerant Circulation Pumping System Renovation\CRFlush and purge entire coolant system\CRInstall inline refrigerant filters\CRInstall performance,,Services,7516,Non Inventory
HA12D,Complete Refrigerant Circulation Pumping System Renovation\CRFlush and purge entire coolant system\CRUpgrade to complete power protection system\CRInstal,,Services,8672,Non Inventory
HA12E,Complete Refrigerant Circulation Pumping System Renovation\CRFlush and purge entire coolant system\CRUpgrade to complete power protection system\CRInstal,,Services,9250,Non Inventory
HA13A,Refrigerant Circulation Pumping System Rejuvenation \CRPerformance and safety testing \CR30 day warranty,,Services,6521,Non Inventory
